letters,required,score,words
leotrpi,i,434,85
leotrpi,p,475,98
leotrpi,t,554,113
leotrpi,o,412,93
leotrpi,l,376,87
rfuyemp,p,129,31
rfuyemp,m,108,23
rfuyemp,u,146,32
rfuyemp,y,106,21
rfuyemp,f,101,22
reotmzi,i,197,44
reotmzi,z,49,8
reotmzi,m,196,52
reotmzi,t,265,66
reotmzi,o,199,49
lfudnmi,i,82,20
lfudnmi,m,64,16
lfudnmi,n,59,12
lfudnmi,d,47,11
lfudnmi,u,85,18
lfudnmi,f,68,16
lfudnmi,l,65,18
ubcongi,u,99,16
ubcongi,c,109,19
ubcongi,o,213,41
ubcongi,b,157,27
contaxi,i,317,49
contaxi,x,74,10
contaxi,a,330,54
contaxi,t,340,56
contaxi,n,351,57
contaxi,o,312,54
contaxi,c,286,48
ecdotrp,c,474,76
ecdotrp,t,532,93
ecdotrp,o,808,152
ecdotrp,p,546,98
leconag,g,197,49
leconag,a,256,64
leconag,n,262,66
leconag,o,238,64
leconag,c,202,46
leconag,e,238,60
leconag,l,264,70
wuedntr,u,316,61
wuedntr,t,423,79
wuedntr,n,462,87
wuedntr,w,136,29
yevtari,i,290,50
yevtari,t,355,66
yevtari,a,295,63
yevtari,v,172,33
yevtari,y,118,27
lednamp,p,428,81
lednamp,m,352,73
lednamp,a,683,140
lednamp,n,471,85
lednamp,l,479,98
umjnari,i,82,20
umjnari,r,53,13
umjnari,a,81,21
umjnari,n,83,17
umjnari,j,29,6
umjnari,m,96,20
umjnari,u,49,8
lymetxr,m,110,22
lymetxr,x,47,7
lymetxr,t,130,26
lymetxr,y,83,16
lymetxr,l,114,23
lecdngi,c,237,37
lecdngi,l,401,71
lucoamg,g,56,16
lucoamg,m,88,26
lucoamg,a,97,32
lucoamg,o,64,22
lucoamg,c,45,15
lucoamg,u,39,12
lucoamg,l,80,35
lbeotar,a,633,129
lbeotar,t,630,128
lbeotar,o,409,93
lbeotar,b,449,98
lbeotar,l,506,105
wedonam,m,328,75
wedonam,a,320,71
wedonam,n,348,79
wedonam,o,238,60
wedonam,w,187,42
fehodtr,t,426,86
fehodtr,f,302,60
fehodtr,o,456,98
fehodtr,h,244,48
lyechki,i,131,31
lyechki,k,74,20
lyechki,h,122,26
lyechki,c,155,33
lyechki,e,109,26
lyechki,y,74,14
lyechki,l,132,32
lcontar,r,274,56
lcontar,a,381,81
lcontar,t,317,70
lcontar,n,259,53
lcontar,o,365,87
lcontar,c,326,67
lcontar,l,180,48
yodnarg,g,139,37
yodnarg,r,170,47
yodnarg,a,205,52
yodnarg,n,168,37
yodnarg,d,139,35
yodnarg,o,154,44
yodnarg,y,126,30
cotaxmi,i,98,22
cotaxmi,m,98,26
cotaxmi,x,39,7
cotaxmi,a,123,33
cotaxmi,t,90,25
cotaxmi,o,103,27
cotaxmi,c,103,23
ecohvar,a,145,40
ecohvar,v,99,25
ecohvar,o,139,30
ecohvar,h,153,35
ecohvar,c,177,39
lbedtri,i,746,143
lbedtri,t,510,96
lbedtri,l,523,99
lbedtri,b,463,82
wledona,a,326,76
wledona,n,299,70
wledona,o,280,65
wledona,l,372,85
wledona,w,295,64
uecvtar,v,119,24
uecvtar,a,342,72
uecvtar,t,340,66
uecvtar,c,300,57
