required,optional,good,excellent,genius,date,Jump,words_score
c,himopr,8,13,18,2016-01-03,5,"(24, 107)"
f,aehltu,8,14,20,2016-01-10,6,"(37, 134)"
v,ehortw,6,12,18,2016-01-17,6,"(22, 110)"
p,imortu,8,14,20,2016-01-24,6,"(36, 138)"
u,aimnot,11,19,27,2016-01-31,8,"(35, 218)"
d,acetvx,7,14,21,2016-02-07,7,"(33, 166)"
f,aciloy,8,13,18,2016-02-14,5,"(31, 136)"
o,cintuy,7,14,21,2016-02-21,7,"(33, 156)"
n,ejmoty,7,13,19,2016-02-28,6,"(27, 113)"
c,eimnoz,7,14,21,2016-03-06,7,"(30, 150)"
u,acenot,8,14,20,2016-03-13,6,"(30, 151)"
o,dimrty,6,11,16,2016-03-20,5,"(37, 111)"
n,aiqtuy,8,15,22,2016-03-27,7,"(27, 147)"
l,bceinv,7,15,23,2016-04-03,8,"(34, 155)"
l,achirv,8,14,20,2016-04-10,6,"(27, 96)"
r,finopt,7,15,23,2016-04-17,8,"(34, 133)"
c,agilmy,7,13,19,2016-04-24,6,"(25, 131)"
t,deghln,10,15,20,2016-05-01,5,"(31, 147)"
l,acenow,9,16,23,2016-05-08,7,"(50, 161)"
m,aiortu,8,15,22,2016-05-15,7,"(41, 166)"
h,acimrt,7,13,19,2016-05-22,6,"(34, 155)"
a,birtuy,8,14,20,2016-05-29,6,"(35, 138)"
c,ainqtu,7,12,17,2016-06-05,5,"(20, 114)"
o,adhint,6,11,16,2016-06-12,5,"(31, 133)"
m,ailpry,7,14,21,2016-06-19,7,"(39, 156)"
c,eilptx,5,10,15,2016-06-26,5,"(25, 128)"
n,cehikt,9,18,27,2016-07-03,9,"(46, 212)"
v,ailnot,8,15,22,2016-07-10,7,"(27, 157)"
y,ehnopt,7,15,23,2016-07-17,8,"(28, 147)"
o,chlpry,6,12,18,2016-07-24,6,"(41, 137)"
u,aclort,8,15,22,2016-07-31,7,"(35, 165)"
l,egmoty,7,13,19,2016-08-07,6,"(36, 137)"
e,abchly,7,13,19,2016-08-14,6,"(36, 144)"
h,emnopr,5,11,17,2016-08-21,6,"(24, 118)"
g,cenorv,8,14,20,2016-08-28,6,"(29, 160)"
m,eilnty,6,14,22,2016-09-04,8,"(40, 172)"
f,aekmrt,7,12,19,2016-09-11,5,"(32, 108)"
u,ailmnt,8,15,22,2016-09-18,7,"(38, 173)"
a,iprtuy,8,14,20,2016-09-25,6,"(37, 140)"
l,agnrty,5,11,17,2016-10-02,6,"(21, 105)"
a,ciptvy,6,11,16,2016-10-09,5,"(21, 106)"
p,afilnt,8,15,22,2016-10-16,7,"(35, 167)"
m,aceipt,5,10,15,2016-10-23,5,"(45, 150)"
a,bciklw,8,15,22,2016-10-30,7,"(32, 134)"
u,cimnot,6,12,18,2016-11-06,6,"(28, 153)"
b,elmnow,6,12,18,2016-11-13,6,"(32, 119)"
b,acinot,8,17,26,2016-11-20,9,"(31, 159)"
u,ceopry,7,13,19,2016-11-27,6,"(28, 139)"
f,acilrt,8,14,20,2016-12-04,6,"(43, 188)"
h,ceinty,8,14,20,2016-12-11,6,"(32, 145)"
l,ainopv,7,13,19,2016-12-18,6,"(42, 148)"
l,acefpu,7,13,19,2016-12-25,6,"(46, 140)"
n,cefitu,8,14,20,2017-01-01,6,"(34, 148)"
n,abchil,7,13,19,2017-01-08,6,"(27, 158)"
l,aekmry,7,13,19,2017-01-15,6,"(43, 157)"
e,hmnptu,5,10,15,2017-01-22,5,"(30, 108)"
h,abcerw,5,10,15,2017-01-29,5,"(26, 94)"
f,acilor,8,15,22,2017-02-05,7,"(41, 177)"
b,acmnot,8,15,22,2017-02-12,7,"(31, 167)"
n,acdhir,6,12,18,2017-02-19,6,"(27, 131)"
e,bhiorv,7,13,19,2017-02-26,6,"(41, 162)"
c,aimotx,7,11,15,2017-03-05,4,"(23, 103)"
u,achort,9,15,21,2017-03-12,6,"(32, 143)"
m,eirtxy,7,12,17,2017-03-19,5,"(31, 116)"
g,abehlu,7,14,21,2017-03-26,7,"(29, 126)"
u,aeimrt,9,16,23,2017-04-02,7,"(31, 172)"
l,efntuv,7,13,19,2017-04-09,6,"(32, 147)"
l,acnptu,6,11,16,2017-04-16,5,"(33, 125)"
c,adimot,7,14,21,2017-04-23,7,"(31, 150)"
i,aclqtu,7,13,19,2017-04-30,6,"(27, 134)"
o,bhilnt,7,12,17,2017-05-07,5,"(40, 129)"
n,acmopy,7,13,19,2017-05-14,6,"(27, 128)"
h,aoprty,6,12,18,2017-05-21,6,"(30, 129)"
i,cdmnou,7,13,19,2017-05-28,6,"(24, 134)"
y,efinst,5,10,15,2017-06-04,5,"(25, 121)"
w,aelmrt,7,13,19,2017-06-11,6,"(30, 104)"
n,aceflu,7,13,19,2017-06-18,6,"(33, 153)"
y,celort,6,12,18,2017-06-25,6,"(27, 142)"
h,acelno,8,16,24,2017-07-02,8,"(37, 176)"
p,ackort,7,14,21,2017-07-09,7,"(40, 162)"
u,cfinot,6,11,16,2017-07-16,5,"(27, 127)"
p,aehnty,7,14,21,2017-07-23,7,"(33, 135)"
u,acenpt,7,12,17,2017-07-30,5,"(26, 119)"
o,abdflr,9,17,25,2017-08-06,8,"(56, 193)"
l,abitvy,7,15,23,2017-08-13,8,"(32, 149)"
e,ahlpuv,6,10,14,2017-08-20,4,"(34, 107)"
e,ahmnop,6,11,16,2017-08-27,5,"(39, 119)"
h,acefru,7,11,15,2017-09-03,4,"(21, 82)"
t,chilno,8,13,18,2017-09-10,5,"(43, 156)"
c,aimrtu,7,13,19,2017-09-17,6,"(25, 126)"
t,abeglv,8,15,22,2017-09-24,7,"(40, 185)"
o,abelvy,6,11,16,2017-10-01,5,"(30, 120)"
n,aeilpz,8,15,22,2017-10-08,7,"(35, 153)"
n,abcouy,8,13,18,2017-10-15,5,"(26, 128)"
k,ceirty,7,12,17,2017-10-22,5,"(27, 138)"
c,efintv,6,11,16,2017-10-29,5,"(20, 124)"
o,fghltu,7,11,15,2017-11-05,4,"(34, 104)"
u,agnort,8,15,22,2017-11-12,7,"(36, 163)"
y,cemnor,6,11,16,2017-11-19,5,"(17, 92)"
u,cdnort,7,13,19,2017-11-26,6,"(38, 167)"
b,alorty,8,15,22,2017-12-03,7,"(35, 124)"
o,cdimty,5,10,15,2017-12-10,5,"(24, 110)"
x,aenort,7,10,13,2017-12-17,3,"(12, 58)"
n,aioqtu,10,16,22,2017-12-24,6,"(34, 175)"
c,aimnty,8,14,20,2017-12-31,6,"(24, 130)"
m,acilnt,12,23,34,2018-01-07,11,"(47, 239)"
t,admory,10,18,26,2018-01-14,8,"(47, 182)"
a,cgiloz,6,10,14,2018-01-21,4,"(20, 91)"
k,ceilnt,7,12,17,2018-01-28,5,"(34, 112)"
o,ahimpt,6,11,16,2018-02-04,5,"(30, 111)"
l,abcnor,7,13,19,2018-02-11,6,"(37, 134)"
r,cegmny,7,13,19,2018-02-18,6,"(22, 125)"
a,girtuy,6,11,16,2018-02-25,5,"(27, 107)"
p,acehit,8,16,24,2018-03-04,8,"(43, 188)"
