letters,required,score,words
rfuyemp,p,129,31
rfuyemp,m,108,23
rfuyemp,u,146,32
rfuyemp,y,106,21
rfuyemp,f,101,22
reotmzi,i,197,44
reotmzi,z,49,8
reotmzi,m,196,52
reotmzi,o,199,49
lfudnmi,i,82,20
lfudnmi,m,64,16
lfudnmi,n,59,12
lfudnmi,d,47,11
lfudnmi,u,85,18
lfudnmi,f,68,16
lfudnmi,l,65,18
ubcongi,u,99,16
ubcongi,c,109,19
ubcongi,o,213,41
ubcongi,b,157,27
contaxi,x,74,10
leconag,g,197,49
leconag,o,238,64
leconag,c,202,46
leconag,e,238,60
wuedntr,w,136,29
yevtari,v,172,33
yevtari,y,118,27
umjnari,i,82,20
umjnari,r,53,13
umjnari,a,81,21
umjnari,n,83,17
umjnari,j,29,6
umjnari,m,96,20
umjnari,u,49,8
lymetxr,m,110,22
lymetxr,x,47,7
lymetxr,t,130,26
lymetxr,y,83,16
lymetxr,l,114,23
lecdngi,c,237,37
lucoamg,g,56,16
lucoamg,m,88,26
lucoamg,a,97,32
lucoamg,o,64,22
lucoamg,c,45,15
lucoamg,u,39,12
lucoamg,l,80,35
wedonam,o,238,60
wedonam,w,187,42
fehodtr,h,244,48
lyechki,i,131,31
lyechki,k,74,20
lyechki,h,122,26
lyechki,c,155,33
lyechki,e,109,26
lyechki,y,74,14
lyechki,l,132,32
lcontar,l,180,48
yodnarg,g,139,37
yodnarg,r,170,47
yodnarg,a,205,52
yodnarg,n,168,37
yodnarg,d,139,35
yodnarg,o,154,44
yodnarg,y,126,30
cotaxmi,i,98,22
cotaxmi,m,98,26
cotaxmi,x,39,7
cotaxmi,a,123,33
cotaxmi,t,90,25
cotaxmi,o,103,27
cotaxmi,c,103,23
ecohvar,a,145,40
ecohvar,v,99,25
ecohvar,o,139,30
ecohvar,h,153,35
ecohvar,c,177,39
uecvtar,v,119,24
uecvtar,u,165,34
luecqon,n,83,22
luecqon,o,81,24
luecqon,q,31,4
luecqon,c,80,19
luecqon,e,85,21
luecqon,u,46,11
luecqon,l,67,20
lbeovam,m,166,42
lbeovam,a,202,52
lbeovam,v,88,19
lbeovam,o,129,37
lbeovam,e,205,52
lbeovam,b,188,45
lbeovam,l,200,57
lueqdzi,i,107,21
lueqdzi,z,48,5
lueqdzi,q,76,11
lueqdzi,u,135,25
lueqdzi,l,149,29
uedhnta,h,169,38
uedhnta,u,219,42
lchntar,r,116,24
lchntar,a,200,50
lchntar,t,166,38
lchntar,n,79,17
lchntar,h,94,23
lchntar,c,144,31
lchntar,l,76,18
echtnap,p,180,42
echtnap,h,230,50
edonxmi,i,180,38
edonxmi,m,171,44
edonxmi,x,62,11
edonxmi,n,201,48
edonxmi,o,158,39
uentami,u,180,33
bcnargi,c,194,32
lyectna,n,232,47
lyectna,c,200,40
lyectna,y,136,24
lyectna,l,240,53
wyonrgi,y,46,11
wyonrgi,w,155,28
wyonrgi,o,212,44
wyonrgi,r,170,34
wledoap,w,249,53
gmnarpi,p,248,44
uyeqnti,i,144,29
uyeqnti,t,145,32
uyeqnti,n,152,32
uyeqnti,q,85,13
uyeqnti,e,141,28
uyeqnti,y,73,13
uyeqnti,u,124,23
luetari,u,139,31
ubecdar,u,240,53
lybdngi,y,97,18
lybdngi,l,154,29
lybdngi,d,163,29
lybdngi,b,130,21
uecohrg,g,95,22
uecohrg,o,165,37
uecohrg,h,121,25
uecohrg,c,137,27
uecohrg,u,115,27
uedhnar,u,234,41
uedhnar,h,237,40
ubeonrg,g,173,42
ubeonrg,n,177,43
ubeonrg,o,180,49
ubeonrg,b,145,39
ubeonrg,u,144,34
wfeotar,a,225,58
wfeotar,o,236,52
wfeotar,f,186,48
wfeotar,w,149,34
lubohnr,r,70,19
lubohnr,n,65,17
lubohnr,h,43,10
lubohnr,o,82,25
lubohnr,b,73,21
lubohnr,u,61,18
lubohnr,l,39,16
meotxrp,m,212,50
meotxrp,x,77,12
lbecoak,k,119,36
lbecoak,a,153,44
lbecoak,o,125,39
lbecoak,c,141,37
lbecoak,e,121,38
lbecoak,b,145,41
lbecoak,l,169,54
lgeaxpi,i,86,17
lgeaxpi,p,106,30
lgeaxpi,x,43,8
lgeaxpi,a,135,35
lgeaxpi,e,138,36
lgeaxpi,g,87,21
lgeaxpi,l,156,39
lyecnap,p,185,46
lyecnap,n,149,33
lyecnap,c,146,33
lyecnap,e,196,50
lyecnap,y,110,23
lyecnap,l,168,47
luyedrg,y,134,33
luybeqa,a,107,28
luybeqa,q,50,9
luybeqa,e,126,29
luybeqa,b,116,30
luybeqa,y,77,17
luybeqa,u,96,23
luybeqa,l,139,35
ontamzi,i,229,40
ontamzi,z,53,7
ontamzi,m,187,41
ontamzi,t,207,38
ontamzi,o,233,44
lyovtai,i,77,21
lyovtai,a,142,31
lyovtai,t,114,29
lyovtai,v,58,13
lyovtai,o,99,25
lyovtai,y,94,16
lyovtai,l,146,40
lyhtrgi,i,121,31
lyhtrgi,g,92,20
lyhtrgi,r,57,13
lyhtrgi,t,93,21
lyhtrgi,h,88,16
lyhtrgi,y,58,9
lyhtrgi,l,85,21
lfuytpi,i,138,32
lfuytpi,p,101,23
lfuytpi,t,112,26
lfuytpi,y,105,19
lfuytpi,u,142,29
lfuytpi,f,121,26
lfuytpi,l,137,32
lmtarpi,i,210,56
lmtarpi,p,161,42
lmtarpi,r,205,50
lmtarpi,t,188,48
lmtarpi,m,159,43
lmtarpi,l,196,49
gconazi,c,169,29
gconazi,z,90,13
gconazi,o,188,35
gconazi,a,209,35
wlbenar,n,185,44
wlbenar,b,235,53
wlbenar,l,223,52
wlbenar,w,146,38
lyedaki,k,115,27
lyedaki,a,226,48
lyedaki,y,177,36
lyedaki,i,223,48
fhntrgi,t,221,41
fhntrgi,f,137,22
fhntrgi,h,150,26
fhntrgi,r,152,27
rleovam,m,193,50
rleovam,a,216,59
rleovam,v,214,46
rleovam,o,189,50
rleovam,l,246,63
lueargi,i,193,36
lueargi,u,172,35
lyuhnam,m,125,28
lyuhnam,a,143,35
lyuhnam,n,108,22
lyuhnam,h,41,10
lyuhnam,u,102,24
lyuhnam,y,83,16
lyuhnam,l,114,30
contaki,k,81,25
kechtri,k,194,37
wlbcaki,i,107,25
wlbcaki,k,81,22
wlbcaki,a,134,32
wlbcaki,c,103,23
wlbcaki,b,101,21
wlbcaki,l,118,32
wlbcaki,w,26,11
wbedoni,i,183,36
wbedoni,n,240,54
wbedoni,o,216,48
wbedoni,b,126,29
wbedoni,w,188,37
rlotami,i,202,52
rlotami,m,211,56
rlotami,o,236,65
rlotami,l,211,59
wlbedri,w,238,50
wucodnt,t,104,23
wucodnt,n,114,25
wucodnt,d,85,16
wucodnt,o,131,31
wucodnt,c,91,16
wucodnt,u,87,19
wucodnt,w,57,10
glueopi,i,77,16
glueopi,p,77,29
glueopi,o,89,27
glueopi,e,85,25
glueopi,u,44,13
glueopi,l,121,41
glueopi,g,76,21
guedrpi,u,183,38
glyeotp,p,139,40
glyeotp,t,108,27
glyeotp,o,147,44
glyeotp,e,138,38
glyeotp,y,121,23
glyeotp,l,157,46
glyeotp,g,83,18
lconarg,g,128,35
lconarg,r,156,36
lconarg,a,235,58
lconarg,n,197,47
lconarg,o,237,61
lconarg,c,175,39
lconarg,l,150,42
ecdohap,p,209,51
ecdohap,a,189,43
ecdohap,o,221,51
ecdohap,h,208,45
ecdohap,c,249,54
ucdvtai,i,96,19
ucdvtai,a,99,22
ucdvtai,t,74,16
ucdvtai,v,37,8
ucdvtai,d,70,15
ucdvtai,c,90,17
ucdvtai,u,32,7
lbonami,i,186,44
lbonami,m,194,51
lbonami,a,229,56
lbonami,n,210,47
lbonami,o,193,50
lbonami,b,145,38
lbonami,l,166,49
fedtaxi,i,133,32
fedtaxi,x,69,14
fedtaxi,a,115,31
fedtaxi,t,151,41
fedtaxi,f,135,33
wlfdnai,i,71,23
wlfdnai,a,95,30
wlfdnai,n,70,20
wlfdnai,d,58,16
wlfdnai,f,63,16
wlfdnai,l,83,26
wlfdnai,w,32,14
wuohtrg,g,123,21
wuohtrg,r,147,31
wuohtrg,t,172,38
wuohtrg,h,137,25
wuohtrg,o,177,38
wuohtrg,u,132,28
wuohtrg,w,59,8
lentazi,i,227,48
lentazi,z,60,9
lentazi,a,246,52
fuevtri,i,209,42
fuevtri,t,199,42
